contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_4730_36C24119F0229_P00010_GS06F0002N_0,36C24119F0229,KONE INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ROPE, CABLE, CHAIN, AND FITTINGS",OTHER BUILDING EQUIPMENT CONTRACTORS,2024-09-18,-9891.51,2714552.65,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4730_36C24419N0566_P00009_GS07F5934R_0,36C24419N0566,GOVERNMENT SCIENTIFIC SOURCE INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2023-10-18,-4443.1,127516.75,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24124F0052_0_GS35F425CA_0,36C24124F0052,MIM SOFTWARE INC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),SOFTWARE PUBLISHERS,2023-12-11,29300.66,29300.66,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24423F0011_P00002_GS00F243DA_0,36C24423F0011,ROCKITDATA LLC,Department of Veterans Affairs,Department of Veterans Affairs,PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2023-10-01,13160.0,26216.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24524F0318_0_GS21F0041Y_0,36C24524F0318,PHIGENICS LLC,Department of Veterans Affairs,Department of Veterans Affairs,QUALITY CONTROL- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2024-03-12,10674.0,10674.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C25622F0199_P00002_47QRAA20D0088_0,36C25622F0199,CALADWICH CONSULTING LLC,Department of Veterans Affairs,Department of Veterans Affairs,TECHNICAL REPRESENTATIVE- MISCELLANEOUS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2024-06-03,212079.75,792979.5,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C10A19F0320_P00025_GS00Q17NSD3006_0,36C10A19F0320,"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,WIRED TELECOMMUNICATIONS CARRIERS,2023-10-01,1953561.0,30990219.44,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C24824F0273_0_47QSWA21D0026_0,36C24824F0273,PHOENIX TEXTILE CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"CLOTHING, SPECIAL PURPOSE",CURTAIN AND LINEN MILLS,2024-07-26,26727.93,26727.93,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C26320F0057_P00007_47QTCA20D0034_0,36C26320F0057,"PHARMACY ONESOURCE, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SOFTWARE PUBLISHERS,2024-04-29,78818.85,411386.11,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C25024F1238_0_GS35F421DA_0,36C25024F1238,TOBII DYNAVOX LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ELECTRONIC COMPUTER MANUFACTURING,2024-09-26,14077.84,14077.84,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_4732_36C26323F0127_P00001_47QTCA22D006J_0,36C26323F0127,ALVAREZ LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SOFTWARE PUBLISHERS,2024-09-03,-405.3,258342.79,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C10A23P0032_P00001_-NONE-_0,36C10A23P0032,"VOLEXITY, INC.",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-05-02,15750.0,31500.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C10B24C0056_0_-NONE-_0,36C10B24C0056,"COVER SIX SOLUTIONS, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-09-20,8700.0,8700.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C10M24P50083_0_-NONE-_0,36C10M24P50083,EXITCERTIFIED LLC,Department of Veterans Affairs,Department of Veterans Affairs,EDUCATION/TRAINING- GENERAL,OTHER COMPUTER RELATED SERVICES,2024-08-28,6513.09,6513.09,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_8000_36C10M23F50053_P00001_NNG15SD81B_0,36C10M23F50053,"IGOV TECHNOLOGIES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-06-28,40660.0,77655.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C24624F0097_P00001_NNG15SD22B_0,36C24624F0097,"FOUR POINTS TECHNOLOGY, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,"IT AND TELECOM - END USER: HELP DESK;TIER 1-2,WORKSPACE,PRINT,OUTPUT,PRODUCTIVITY TOOLS (HW/PERP SW)",OTHER COMPUTER RELATED SERVICES,2024-02-20,0.0,21666.86,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C10X23C0015_P00002_-NONE-_0,36C10X23C0015,"RIOS PARTNERS, LLC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2024-01-18,204850.66,4999091.62,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_8000_36C10A24F0028_0_NNG15SD37B_0,36C10A24F0028,METGREEN SOLUTIONS INC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - SECURITY AND COMPLIANCE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-03-29,769890.0,769890.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C10B21F0152_P00008_NNG15SD27B_0,36C10B21F0152,"V3GATE, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,2024-01-22,0.0,34571148.63,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_8000_36C10B24F0280_0_NNG15SD27B_0,36C10B24F0280,"V3GATE, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - SECURITY AND COMPLIANCE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,2024-08-08,1604631.36,1604631.36,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C24223P0616_P00001_-NONE-_0,36C24223P0616,CEPHEID,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2023-12-28,-123519.98,19719.02,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0216_0_-NONE-_0,36C24224P0216,REGENISOURCE LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-11-15,17783.39,17783.39,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0728_0_-NONE-_0,36C24224P0728,PATRIOT MOBILITY INC.,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-02-15,17726.92,17726.92,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24424P0787_0_-NONE-_0,36C24424P0787,3WE SERVICE & SUPPLY LLC,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,LANDSCAPING SERVICES,2024-07-26,25152.0,25152.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24518P1037_P00008_-NONE-_0,36C24518P1037,"SUSTAINMENT TECHNOLOGIES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- MEASURING TOOLS,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2023-11-30,-50.0,18290.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24523P0979_P00001_-NONE-_0,36C24523P0979,SUN NUCLEAR CORP.,Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-10-01,250.0,99999.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_9700_36A79722F0051_P00003_SPE2D117D0027_0,36A79722F0051,"HOLOGIC SALES AND SERVICE, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",IRRADIATION APPARATUS MANUFACTURING,2023-11-14,0.0,540552.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C24624P1350_0_-NONE-_0,36C24624P1350,"TRIAD ORTHOTICS & PROSTHETICS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-06-11,12893.64,12893.64,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24624P1135_0_-NONE-_0,36C24624P1135,"VITALSMARTS, LC",Department of Veterans Affairs,Department of Veterans Affairs,EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2024-05-06,85062.0,85062.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24723P0091_P00001_-NONE-_0,36C24723P0091,JOHNSON CONTROLS FIRE PROTECTION LP,Department of Veterans Affairs,Department of Veterans Affairs,"INSPECTION- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",FACILITIES SUPPORT SERVICES,2024-03-19,-187495.0,0.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24723P1279_P00002_-NONE-_0,36C24723P1279,"1ST AMERICAN MEDICAL DISTRIBUTORS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-03-15,0.0,198425.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24724P0460_0_-NONE-_0,36C24724P0460,"AUGUSTA PROSTHETICS & ORTHOTICS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-02-05,10487.78,10487.78,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P0538_0_-NONE-_0,36C24824P0538,"OSSUR AMERICAS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-12-26,14679.6,14679.6,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P0883_0_-NONE-_0,36C24824P0883,"RAMPCOUSA, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-02-13,15449.0,15449.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P1622_0_-NONE-_0,36C24824P1622,POST GLOVER LIFELINK INC,Department of Veterans Affairs,Department of Veterans Affairs,OTHER QC/TEST/INSPECT- MISCELLANEOUS,"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",2024-07-20,6480.0,6480.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P2378_0_-NONE-_0,36C24824P2378,"BRAVO, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-09-11,27325.0,27325.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24824P2425_0_-NONE-_0,36C24824P2425,MEDTRONIC INC,Department of Veterans Affairs,Department of Veterans Affairs,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2024-09-16,168782.65,168782.65,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24923P0789_P00001_-NONE-_0,36C24923P0789,MARATHON MEDICAL CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-07-30,0.0,338420.0,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24924P0088_0_-NONE-_0,36C24924P0088,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2023-10-27,46321.22,46321.22,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24924P0871_0_-NONE-_0,36C24924P0871,HANGER PROSTHETICS & ORTHOTICS INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-06-25,10736.79,10736.79,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25024P0639_P00001_-NONE-_0,36C25024P0639,CEPHEID,Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2024-05-06,2846.9,255206.42,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25221C0020_P00020_-NONE-_0,36C25221C0020,"MIDDLETON CONSTRUCTION CONSULTING, LLC",Department of Veterans Affairs,Department of Veterans Affairs,REPAIR OR ALTERATION OF HOSPITALS AND INFIRMARIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2024-01-11,11375.6,4480416.84,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25518C0064_P00020_-NONE-_0,36C25518C0064,STERIS CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-04-12,-0.06,1500193.71,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25524P0500_0_-NONE-_0,36C25524P0500,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",ELECTRONIC COMPUTER MANUFACTURING,2024-07-23,20202.1,20202.1,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25624P0138_P00003_-NONE-_0,36C25624P0138,ATLAS COPCO RENTAL LLC,Department of Veterans Affairs,Department of Veterans Affairs,LEASE/RENTAL OF OTHER UTILITIES,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2024-03-29,212508.0,501216.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25624P0457_0_-NONE-_0,36C25624P0457,OLYMPUS AMERICA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-01-12,32600.0,32600.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25624P1579_0_-NONE-_0,36C25624P1579,"DATASAVERS OF JACKSONVILLE, INC.",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL,WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES,2024-08-20,60297.6,60297.6,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25723P0218_P00001_-NONE-_0,36C25723P0218,CYNERGY PROFESSIONAL SYSTEMS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER COMPUTER RELATED SERVICES,2024-03-11,329055.18,654327.91,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25723P0566_P00001_-NONE-_0,36C25723P0566,LEXICAL LLC,Department of Veterans Affairs,Department of Veterans Affairs,MISCELLANEOUS PREFABRICATED STRUCTURES,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2023-10-10,6500.0,70734.8,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25723P0702_P00001_-NONE-_0,36C25723P0702,MEDTRONIC INC,Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM - MOBILE DEVICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-08-19,20825.0,60750.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25724K0727_0_-NONE-_0,36C25724K0727,"UNITED SEATING AND MOBILITY, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-07-08,41585.6,41585.6,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25821C0073_P00006_-NONE-_0,36C25821C0073,THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2024-08-21,30428.6,104153.95,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25919C0013_P00011_-NONE-_0,36C25919C0013,"ADVANCE PEST CONCEPTS SERVICES, INC",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- INSECT/RODENT CONTROL,EXTERMINATING AND PEST CONTROL SERVICES,2024-02-27,-3120.0,85880.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25920C0166_P00007_-NONE-_0,36C25920C0166,THE REGENTS OF THE UNIVERSITY OF COLORADO,Department of Veterans Affairs,Department of Veterans Affairs,HEALTH R&D SERVICES; HEALTH CARE - OTHER; BASIC RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2024-08-05,-20911.79,52551.53,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25922C0134_P00005_-NONE-_0,36C25922C0134,CDS SERVICES INC,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- INSECT/RODENT CONTROL,EXTERMINATING AND PEST CONTROL SERVICES,2024-09-18,0.0,100525.0,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25923P0354_P00001_-NONE-_0,36C25923P0354,COVIDIEN SALES LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-01-12,11667.0,23334.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26019P0952_P00010_-NONE-_0,36C26019P0952,COLOSSAL CONTRACTING LLC,Department of Veterans Affairs,Department of Veterans Affairs,LEASE OR RENTAL OF EQUIPMENT- OFFICE SUPPLIES AND DEVICES,OTHER COMPUTER RELATED SERVICES,2024-08-26,3205.0,145477.21,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26022P0342_P00003_-NONE-_0,36C26022P0342,OREGON HEALTH & SCIENCE UNIVERSITY,Department of Veterans Affairs,Department of Veterans Affairs,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2023-10-01,47921.0,112646.03,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26122P0652_P00005_-NONE-_0,36C26122P0652,"THUNDERCAT TECHNOLOGY, LLC",Department of Veterans Affairs,Department of Veterans Affairs,UTILITIES- OTHER,OTHER COMPUTER RELATED SERVICES,2024-04-30,-8412.5,1634005.7,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26123P0018_P00002_-NONE-_0,36C26123P0018,JCB DRY CLEANING INC,Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- LAUNDRY/DRYCLEANING,LINEN SUPPLY,2024-04-12,9618.0,69384.2,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26124P0157_0_-NONE-_0,36C26124P0157,TORNIER INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-10-25,25017.93,25017.93,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26124P0370_0_-NONE-_0,36C26124P0370,"PROSTHETIC & ORTHOTIC ASSOCIATES OF HAWAII, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-12-06,17690.78,17690.78,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26124P0863_0_-NONE-_0,36C26124P0863,ENVIRO CERTIFICATION SERVICES LLC,Department of Veterans Affairs,Department of Veterans Affairs,EQUIPMENT AND MATERIALS TESTING- INSTRUMENTS AND LABORATORY EQUIPMENT,TESTING LABORATORIES AND SERVICES,2024-04-11,12630.0,12630.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26124P1177_0_-NONE-_0,36C26124P1177,"CALIFORNIA BOILER, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2024-05-29,110722.6,110722.6,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26124P1508_0_-NONE-_0,36C26124P1508,DME SERVICES LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-05,11587.35,11587.35,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C26222C0168_P00002_-NONE-_0,36C26222C0168,HANNAH INDUSTRIES INC,Department of Veterans Affairs,Department of Veterans Affairs,ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT,WATER SUPPLY AND IRRIGATION SYSTEMS,2024-07-05,2258.52,6596.52,COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
